Issuer,Rewards Currency,Card,Gas,Grocery,Flights,Hotels,RentalCar,Travel,Transit,Dining,Drugstore,Ads,Office Supply,Internet/Cable,Phone,Amazon,Streaming,Entertainment,Wholesale Clubs,Home Improvement,Mobile Pay,>5k,Else,Rent,Annual Fee
Chase,Bonvoy,Ritz Carlton,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,$450 
Chase,Southwest,SW Performance Business,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,$199 
Chase,Southwest,SW Plus,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,$69 
Chase,Southwest,SW Premier,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,$99 
Chase,Southwest,SW Priority,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,$149 
Chase,Southwest,SW Preferred Business,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$99 
Chase,United,United Club Business,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,$695 
Chase,United,United Business,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,$150 
Chase,United,United Club,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$695 
Chase,United,United Explorer,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$150 
Chase,United,United Gateway,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Chase,United,United Quest,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,$350 
Chase,Hyatt,Hyatt Business,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$199 
